exam_id,cutoff,commodity,query,relevant_count,total_count,note,fetched_at
A,2023-07-02,abrasives (manufactured),abrasives AND (mining OR supply OR production OR export OR smelter OR refinery),149,6802947,ok,2026-08-06T23:30:15
A,2023-07-02,aluminum,aluminum AND (mining OR supply OR production OR export OR smelter OR refinery),6705,6802947,ok,2026-08-06T23:30:38
A,2023-07-02,antimony,antimony AND (mining OR supply OR production OR export OR smelter OR refinery),221,6802947,ok,2026-08-06T23:31:08
A,2023-07-02,arsenic,arsenic AND (mining OR supply OR production OR export OR smelter OR refinery),713,6802947,ok,2026-08-06T23:31:37
A,2023-07-02,asbestos,asbestos AND (mining OR supply OR production OR export OR smelter OR refinery),558,6802947,ok,2026-08-06T23:32:10
A,2023-07-02,barite,barite AND (mining OR supply OR production OR export OR smelter OR refinery),59,6802947,ok,2026-08-06T23:32:37
A,2023-07-02,bauxite and alumina,bauxite AND (mining OR supply OR production OR export OR smelter OR refinery),365,6802947,ok,2026-08-06T23:33:15
A,2023-07-02,beryllium,beryllium AND (mining OR supply OR production OR export OR smelter OR refinery),89,6802947,ok,2026-08-06T23:33:37
A,2023-07-02,bismuth,bismuth AND (mining OR supply OR production OR export OR smelter OR refinery),92,6802947,ok,2026-08-06T23:34:11
A,2023-07-02,boron,boron AND (mining OR supply OR production OR export OR smelter OR refinery),403,6802947,ok,2026-08-06T23:34:42
A,2023-07-02,bromine,bromine AND (mining OR supply OR production OR export OR smelter OR refinery),174,6802947,ok,2026-08-06T23:35:05
A,2023-07-02,cadmium,cadmium AND (mining OR supply OR production OR export OR smelter OR refinery),472,6802947,ok,2026-08-06T23:35:40
A,2023-07-02,cement,cement AND (mining OR supply OR production OR export OR smelter OR refinery),5528,6802947,ok,2026-08-06T23:36:11
A,2023-07-02,cesium,cesium AND (mining OR supply OR production OR export OR smelter OR refinery),178,6802947,ok,2026-08-06T23:36:34
A,2023-07-02,chromium,chromium AND (mining OR supply OR production OR export OR smelter OR refinery),396,6802947,ok,2026-08-06T23:37:12
A,2023-07-02,clays,clays AND (mining OR supply OR production OR export OR smelter OR refinery),147,6802947,ok,2026-08-06T23:37:37
A,2023-07-02,cobalt,cobalt AND (mining OR supply OR production OR export OR smelter OR refinery),3675,6802947,ok,2026-08-06T23:38:15
A,2023-07-02,copper,copper AND (mining OR supply OR production OR export OR smelter OR refinery),10347,6802947,ok,2026-08-06T23:38:45
A,2023-07-02,diamond (industrial),"""industrial diamond"" AND (mining OR supply OR production OR export OR smelter OR refinery)",4,6802947,ok,2026-08-06T23:39:16
A,2023-07-02,diatomite,diatomite AND (mining OR supply OR production OR export OR smelter OR refinery),31,6802947,ok,2026-08-06T23:39:32
A,2023-07-02,feldspar,feldspar AND (mining OR supply OR production OR export OR smelter OR refinery),103,6802947,ok,2026-08-06T23:40:14
A,2023-07-02,fluorspar,fluorspar AND (mining OR supply OR production OR export OR smelter OR refinery),24,6802947,ok,2026-08-06T23:40:31
A,2023-07-02,gallium,gallium AND (mining OR supply OR production OR export OR smelter OR refinery),394,6802947,ok,2026-08-06T23:40:49
A,2023-07-02,garnet (industrial),garnet AND (mining OR supply OR production OR export OR smelter OR refinery),205,6802947,ok,2026-08-06T23:41:48
A,2023-07-02,gemstones,gemstones AND (mining OR supply OR production OR export OR smelter OR refinery),407,6802947,ok,2026-08-06T23:42:06
A,2023-07-02,germanium,germanium AND (mining OR supply OR production OR export OR smelter OR refinery),75,6802947,ok,2026-08-06T23:42:40
A,2023-07-02,gold,gold AND (mining OR supply OR production OR export OR smelter OR refinery),33523,6802947,ok,2026-08-06T23:43:15
A,2023-07-02,graphite (natural),graphite AND (mining OR supply OR production OR export OR smelter OR refinery),1601,6802947,ok,2026-08-06T23:43:30
A,2023-07-02,gypsum,gypsum AND (mining OR supply OR production OR export OR smelter OR refinery),372,6802947,ok,2026-08-06T23:44:09
A,2023-07-02,hafnium,hafnium AND (mining OR supply OR production OR export OR smelter OR refinery),26,6802947,ok,2026-08-06T23:44:33
A,2023-07-02,helium,helium AND (mining OR supply OR production OR export OR smelter OR refinery),952,6802947,ok,2026-08-06T23:45:12
A,2023-07-02,indium,indium AND (mining OR supply OR production OR export OR smelter OR refinery),180,6802947,ok,2026-08-06T23:45:31
A,2023-07-02,iodine,iodine AND (mining OR supply OR production OR export OR smelter OR refinery),390,6802947,ok,2026-08-06T23:46:06
A,2023-07-02,iron and steel,"""steel industry"" AND (mining OR supply OR production OR export OR smelter OR refinery)",848,6802947,ok,2026-08-06T23:46:38
A,2023-07-02,iron and steel scrap,"""steel scrap"" AND (mining OR supply OR production OR export OR smelter OR refinery)",59,6802947,ok,2026-08-06T23:47:10
A,2023-07-02,iron and steel slag,"""steel slag"" AND (mining OR supply OR production OR export OR smelter OR refinery)",8,6802947,ok,2026-08-06T23:47:32
A,2023-07-02,iron ore,"""iron ore"" AND (mining OR supply OR production OR export OR smelter OR refinery)",2258,6802947,ok,2026-08-06T23:48:14
A,2023-07-02,iron oxide pigments,"""iron oxide"" AND (mining OR supply OR production OR export OR smelter OR refinery)",141,6802947,ok,2026-08-06T23:48:32
A,2023-07-02,kyanite,kyanite AND (mining OR supply OR production OR export OR smelter OR refinery),6,6802947,ok,2026-08-06T23:49:00
A,2023-07-02,lead,lead AND (mining OR supply OR production OR export OR smelter OR refinery),107683,6802947,ok,2026-08-06T23:49:40
A,2023-07-02,lime,lime AND (mining OR supply OR production OR export OR smelter OR refinery),1804,6802947,ok,2026-08-06T23:50:06
A,2023-07-02,lithium,lithium AND (mining OR supply OR production OR export OR smelter OR refinery),10878,6802947,ok,2026-08-06T23:50:32
A,2023-07-02,magnesium compounds,"""magnesium compounds"" AND (mining OR supply OR production OR export OR smelter OR refinery)",7,6802947,ok,2026-08-06T23:51:12
A,2023-07-02,magnesium metal,magnesium AND (mining OR supply OR production OR export OR smelter OR refinery),1249,6802947,ok,2026-08-06T23:51:35
A,2023-07-02,manganese,manganese AND (mining OR supply OR production OR export OR smelter OR refinery),1260,6802947,ok,2026-08-06T23:52:09
A,2023-07-02,mercury,mercury AND (mining OR supply OR production OR export OR smelter OR refinery),3207,6802947,ok,2026-08-06T23:52:59
A,2023-07-02,mica (natural),mica AND (mining OR supply OR production OR export OR smelter OR refinery),278,6802947,ok,2026-08-06T23:53:10
A,2023-07-02,molybdenum,molybdenum AND (mining OR supply OR production OR export OR smelter OR refinery),558,6802947,ok,2026-08-06T23:53:56
A,2023-07-02,nickel,nickel AND (mining OR supply OR production OR export OR smelter OR refinery),6458,6802947,ok,2026-08-06T23:54:14
A,2023-07-02,niobium,niobium AND (mining OR supply OR production OR export OR smelter OR refinery),200,6802947,ok,2026-08-06T23:54:53
A,2023-07-02,nitrogen (fixed)-ammonia,ammonia AND (mining OR supply OR production OR export OR smelter OR refinery),2061,6802947,ok,2026-08-06T23:55:15
A,2023-07-02,peat,peat AND (mining OR supply OR production OR export OR smelter OR refinery),570,6802947,ok,2026-08-06T23:56:01
A,2023-07-02,perlite,perlite AND (mining OR supply OR production OR export OR smelter OR refinery),80,6802947,ok,2026-08-06T23:56:11
A,2023-07-02,phosphate rock,"""phosphate rock"" AND (mining OR supply OR production OR export OR smelter OR refinery)",64,6802947,ok,2026-08-06T23:57:03
A,2023-07-02,platinum-group metals,(platinum OR palladium) AND (mining OR supply OR production OR export OR smelter OR refinery),4551,6802947,ok,2026-08-06T23:57:24
A,2023-07-02,potash,potash AND (mining OR supply OR production OR export OR smelter OR refinery),715,6802947,ok,2026-08-06T23:57:57
A,2023-07-02,pumice and pumicite,pumice AND (mining OR supply OR production OR export OR smelter OR refinery),329,6802947,ok,2026-08-06T23:58:15
A,2023-07-02,quartz crystal (industrial),"""quartz crystal"" AND (mining OR supply OR production OR export OR smelter OR refinery)",22,6802947,ok,2026-08-06T23:58:56
A,2023-07-02,rare earths,"""rare earth"" AND (mining OR supply OR production OR export OR smelter OR refinery)",1978,6802947,ok,2026-08-06T23:59:20
A,2023-07-02,rhenium,rhenium AND (mining OR supply OR production OR export OR smelter OR refinery),59,6802947,ok,2026-08-06T23:59:49
A,2023-07-02,rubidium,rubidium AND (mining OR supply OR production OR export OR smelter OR refinery),51,6802947,ok,2026-08-07T00:00:14
A,2023-07-02,salt,salt AND (mining OR supply OR production OR export OR smelter OR refinery),10354,6802947,ok,2026-08-07T00:00:53
