"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
A,abrasives (manufactured),149,0.4324,54.3,0.3082,30,,filled_2026-08-15
A,aluminum,6705,0.7604,58,0.139,47,,v1
A,antimony,221,0.4663,54.5,0.2909,31,,v1
A,arsenic,713,0.5671,39.3,0.1701,42,,v1
A,asbestos,558,0.546,14,0.0636,62,,filled_2026-08-15
A,barite,59,0.3534,24.1,0.1558,43,,v1
A,bauxite and alumina,365,0.5094,58.6,0.2875,32,,filled_2026-08-15
A,beryllium,89,0.3883,25,0.1529,44,,v1
A,bismuth,92,0.3912,80,0.4871,19,,v1
A,boron,403,0.5179,6,0.0289,70,,filled_2026-08-15
A,bromine,174,0.4457,25,0.1386,49,,filled_2026-08-15
A,cadmium,472,0.5316,41.7,0.1953,40,,v1
A,cement,5528,0.7437,51,0.1307,51,,filled_2026-08-15
A,cerium,76,0.3749,88,0.5501,15,,REE_element_file
A,cesium,178,0.4477,,,,no_share_data,v1
A,chromium,396,0.5164,0,0,86,,v1
A,clays,147,0.4313,,,,no_share_data,v1
A,cobalt,3675,0.7085,1.2,0.0035,83,,v1
A,copper,10347,0.7978,8.6,0.0174,78,,v1
A,diamond (industrial),32,0.3018,95,0.6633,7,,diamond_term_corrected_2026-08-15
A,diatomite,31,0.2991,17,0.1192,54,,filled_2026-08-15
A,dysprosium,142,0.4283,99,0.566,14,,REE_element_file
A,erbium,26,0.2844,99,0.7084,4,,REE_element_file
A,europium,29,0.2935,98,0.6923,5,,REE_element_file
A,feldspar,103,0.4008,8.6,0.0515,66,,v1
A,fluorspar,24,0.2778,68.7,0.4962,18,,v1
A,gadolinium,47,0.3341,98,0.6526,8,,REE_element_file
A,gallium,394,0.516,98.2,0.4753,20,,v1
A,garnet (industrial),205,0.4598,17,0.0918,57,,filled_2026-08-15
A,gemstones,407,0.5188,,,,no_share_data,v1
A,germanium,75,0.3738,65.4,0.4096,24,,v1
A,gold,33523,0.8993,10.6,0.0107,80,,v1
A,graphite (natural),1601,0.6368,65.4,0.2375,37,,v1
A,gypsum,372,0.5111,15,0.0733,59,,filled_2026-08-15
A,hafnium,26,0.2844,3,0.0215,74,,v1
A,helium,952,0.592,0.6,0.0024,85,,v1
A,holmium,19,0.2585,99,0.734,2,,REE_element_file
A,indium,180,0.4486,58.9,0.3247,29,,v1
A,iodine,390,0.5151,1,0.0048,82,,filled_2026-08-15
A,iron and steel,848,0.582,54,0.2257,38,,filled_2026-08-15
A,iron and steel scrap,59,0.3534,,,,no_share_data,v1
A,iron and steel slag,8,0.1896,54,0.4376,22,,filled_2026-08-15
A,iron ore,2258,0.6665,14.6,0.0487,67,,v1
A,iron oxide pigments,141,0.4277,,,,no_share_data,v1
A,kyanite,6,0.1679,15,0.1248,53,,filled_2026-08-15
A,lanthanum,60,0.3548,88,0.5678,13,,REE_element_file
A,lead,107683,1,44.4,0,87,,v1
A,lime,1804,0.6471,72,0.2541,35,,filled_2026-08-15
A,lithium,10878,0.8022,14.6,0.0289,71,,v1
A,lutetium,88,0.3874,99,0.6065,11,,REE_element_file
A,magnesium compounds,7,0.1795,63.8,0.5235,16,,filled_2026-08-15
A,magnesium metal,1249,0.6154,90,0.3461,27,,v1
A,manganese,1260,0.6162,5,0.0192,76,,v1
A,mercury,3207,0.6968,85,0.2578,34,,filled_2026-08-15
A,mica (natural),278,0.486,25.6,0.1316,50,,v1
A,molybdenum,558,0.546,40,0.1816,41,,v1
A,neodymium,255,0.4786,90,0.4693,21,,REE_element_file
A,nickel,6458,0.7572,3.3,0.008,81,,v1
A,niobium,200,0.4577,0,0,88,,v1
A,nitrogen (fixed)-ammonia,2061,0.6586,26,0.0888,58,,filled_2026-08-15
A,peat,570,0.5478,4,0.0181,77,,filled_2026-08-15
A,perlite,80,0.3793,10,0.0621,63,,filled_2026-08-15
A,phosphate rock,64,0.3603,38.6,0.2469,36,,v1
A,platinum-group metals,4551,0.727,1,0.0027,84,,filled_2026-08-15
A,potash,715,0.5673,15,0.0649,61,,v1
A,praseodymium,134,0.4233,90,0.519,17,,REE_element_file
A,pumice and pumicite,329,0.5005,3,0.015,79,,filled_2026-08-15
A,quartz crystal (industrial),22,0.2706,,,,no_share_data,v1
A,rhenium,59,0.3534,4.3,0.0278,72,,v1
A,rubidium,51,0.341,,,,no_share_data,v1
A,salt,10354,0.7979,22,0.0445,68,,filled_2026-08-15
A,samarium,35,0.3093,97,0.67,6,,REE_element_file
A,sand and gravel,122,0.4153,,,,no_share_data,v1
A,scandium,120,0.4139,68,0.3986,25,,filled_2026-08-15
A,selenium,254,0.4782,40.6,0.2118,39,,v1
A,silicon,10097,0.7957,68,0.1389,48,,filled_2026-08-15
A,silver,15967,0.8353,13.8,0.0227,73,,v1
A,soda ash,96,0.3948,46,0.2784,33,,filled_2026-08-15
A,stone,12138,0.8116,,,,no_share_data,v1
A,strontium,75,0.3738,23.5,0.1472,46,,v1
A,sulfur,1442,0.6278,19,0.0707,60,,filled_2026-08-15
A,talc and pyrophyllite,216,0.4643,28,0.15,45,,filled_2026-08-15
A,tantalum,272,0.4841,3.9,0.0201,75,,v1
A,tellurium,64,0.3603,53.1,0.3397,28,,v1
A,terbium,110,0.4064,99,0.5876,12,,REE_element_file
