"H2b thermometer 2 - stock BHAR[0,+5] vs CSI 300, 24 ticker-events.",,,,
event,name,commodity,invisibility_precutoff,CAR_pct
A,云南锗业,germanium,0.626,37.83
A,驰宏锌锗,germanium,0.626,9.64
A,中金岭南,gallium,0.484,7.23
A,中国铝业,gallium,0.484,3.1
A,锡业股份,indium,0.551,1.04
C,湖南黄金,antimony,0.537,3.19
C,华锡有色,antimony,0.537,-0.44
C,华钰矿业,antimony,0.537,3.1
D,中钨高新,tungsten,0.478,-0.9
D,厦门钨业,tungsten,0.478,-0.22
D,章源钨业,tungsten,0.478,-0.13
D,金钼股份,molybdenum,0.438,-2.79
D,锡业股份,indium,0.568,-1.24
D,株冶集团,indium,0.568,-0.39
E1,中国稀土,dysprosium,0.564,6.67
E1,广晟有色,dysprosium,0.564,1.68
E1,北方稀土,neodymium,0.51,9.16
E1,盛和资源,neodymium,0.51,0.38
E2,北方稀土,holmium,0.764,1.97
E2,中国稀土,holmium,0.764,2.32
E2,方大炭素,graphite (natural),0.366,1.37
E2,杉杉股份,graphite (natural),0.366,-13.93
E2,力量钻石,diamond (industrial),0.86,25.6
E2,黄河旋风,diamond (industrial),0.86,25.16
