"US general imports, monthly, HS10 line items. Source: US Census Bureau international trade API (api.census.gov), pulled 2026-09. Unit value = customs value / quantity. Customs value excludes duty, freight and insurance.",,,,,,,,,,,
month,hts10,commodity,group,census_description,customs_value_usd,quantity,unit,unit_value_usd_per_unit,china_value_usd,china_quantity,china_share_of_value_pct
2023-01,2804800000,arsenic,control (never restricted),ARSENIC,327438,118136,KG,2.7717,,,
2023-02,2804800000,arsenic,control (never restricted),ARSENIC,90090,10940,KG,8.2349,,,
2023-03,2804800000,arsenic,control (never restricted),ARSENIC,127967,80325,KG,1.5931,,,
2023-04,2804800000,arsenic,control (never restricted),ARSENIC,71719,40183,KG,1.7848,,,
2023-05,2804800000,arsenic,control (never restricted),ARSENIC,221687,85046,KG,2.6067,,,
2023-06,2804800000,arsenic,control (never restricted),ARSENIC,56619,20596,KG,2.749,,,
2023-07,2804800000,arsenic,control (never restricted),ARSENIC,144644,60074,KG,2.4078,,,
2023-08,2804800000,arsenic,control (never restricted),ARSENIC,17653,108,KG,163.4537,,,
2023-09,2804800000,arsenic,control (never restricted),ARSENIC,171774,47057,KG,3.6503,,,
2023-10,2804800000,arsenic,control (never restricted),ARSENIC,188654,63878,KG,2.9533,,,
2023-11,2804800000,arsenic,control (never restricted),ARSENIC,75778,40159,KG,1.8869,,,
2023-12,2804800000,arsenic,control (never restricted),ARSENIC,144718,83834,KG,1.7262,,,
2024-01,2804800000,arsenic,control (never restricted),ARSENIC,197089,66236,KG,2.9756,,,
2024-02,2804800000,arsenic,control (never restricted),ARSENIC,101101,40336,KG,2.5065,,,
2024-03,2804800000,arsenic,control (never restricted),ARSENIC,52363,4233,KG,12.3702,,,
2024-04,2804800000,arsenic,control (never restricted),ARSENIC,162867,80502,KG,2.0231,,,
2024-05,2804800000,arsenic,control (never restricted),ARSENIC,58595,60064,KG,0.9755,,,
2024-06,2804800000,arsenic,control (never restricted),ARSENIC,0,0,KG,,,,
2024-07,2804800000,arsenic,control (never restricted),ARSENIC,110124,60108,KG,1.8321,,,
2024-08,2804800000,arsenic,control (never restricted),ARSENIC,160985,7141,KG,22.5438,,,
2024-09,2804800000,arsenic,control (never restricted),ARSENIC,138019,20768,KG,6.6458,,,
2024-10,2804800000,arsenic,control (never restricted),ARSENIC,64562,40088,KG,1.6105,,,
2024-11,2804800000,arsenic,control (never restricted),ARSENIC,96301,58098,KG,1.6576,,,
2024-12,2804800000,arsenic,control (never restricted),ARSENIC,215834,95387,KG,2.2627,,,
2025-01,2804800000,arsenic,control (never restricted),ARSENIC,189780,40182,KG,4.723,,,
2025-02,2804800000,arsenic,control (never restricted),ARSENIC,303616,177425,KG,1.7112,,,
2025-03,2804800000,arsenic,control (never restricted),ARSENIC,190243,40742,KG,4.6695,,,
2025-04,2804800000,arsenic,control (never restricted),ARSENIC,234085,39670,KG,5.9008,,,
2025-05,2804800000,arsenic,control (never restricted),ARSENIC,155447,40336,KG,3.8538,,,
2025-06,2804800000,arsenic,control (never restricted),ARSENIC,233939,45874,KG,5.0996,,,
2025-07,2804800000,arsenic,control (never restricted),ARSENIC,129349,45002,KG,2.8743,,,
2025-08,2804800000,arsenic,control (never restricted),ARSENIC,223291,38908,KG,5.7389,,,
2025-09,2804800000,arsenic,control (never restricted),ARSENIC,187198,60648,KG,3.0866,,,
2025-10,2804800000,arsenic,control (never restricted),ARSENIC,182868,20568,KG,8.8909,,,
2025-11,2804800000,arsenic,control (never restricted),ARSENIC,180252,77072,KG,2.3387,,,
2025-12,2804800000,arsenic,control (never restricted),ARSENIC,143531,39384,KG,3.6444,,,
2026-01,2804800000,arsenic,control (never restricted),ARSENIC,185897,69728,KG,2.666,,,
2026-02,2804800000,arsenic,control (never restricted),ARSENIC,194225,40521,KG,4.7932,,,
2026-03,2804800000,arsenic,control (never restricted),ARSENIC,112463,612,KG,183.7631,,,
2026-04,2804800000,arsenic,control (never restricted),ARSENIC,80400,30650,KG,2.6232,,,
2026-05,2804800000,arsenic,control (never restricted),ARSENIC,93814,504,KG,186.1389,,,
2026-06,2804800000,arsenic,control (never restricted),ARSENIC,173053,875,KG,197.7749,,,
2026-07,2804800000,arsenic,control (never restricted),ARSENIC,106198,20481,KG,5.1852,,,
2023-01,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,2903322,20875,T,139.0813,,,
2023-02,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3779418,24415,T,154.799,,,
2023-03,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3088005,23147,T,133.4084,,,
2023-04,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,5988311,38361,T,156.1041,,,
2023-05,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3158901,23359,T,135.2327,,,
2023-06,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3321362,22956,T,144.6838,,,
2023-07,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3128729,22539,T,138.814,,,
2023-08,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3414424,22650,T,150.7472,,,
2023-09,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,2831566,19917,T,142.1683,,,
2023-10,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3812456,26067,T,146.256,,,
2023-11,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3304834,23041,T,143.4328,,,
2023-12,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,2781443,18236,T,152.5248,,,
2024-01,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3818456,24716,T,154.4933,,,
2024-02,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,4068540,26977,T,150.8151,,,
2024-03,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3382535,24443,T,138.3846,,,
2024-04,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,6672966,39209,T,170.1897,,,
2024-05,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3641360,25946,T,140.3438,,,
2024-06,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3566838,25771,T,138.4051,,,
2024-07,2511101000,barite (ground),control (never restricted),NATURAL BARIUM SULFATE (BARYTES) GROUND,3380251,23015,T,146.8716,,,
